Photo,Cond,Ci,Tleaf,CO2R,CO2S,H2OR,H2OS,PARi
14.38646743,0.223425569,265.4411473,31.71646309,400.1300354,383.6670532,24.07186699,29.41103935,1199.10144
9.635385016,0.223202332,208.0947822,31.85963058,299.855957,288.6482544,24.36915398,29.7297554,1198.668457
4.672629852,0.223462708,152.9113032,32.02374268,199.9312592,194.1812897,24.48313904,29.92022705,1201.694946
-1.082049197,0.222985969,104.154816,32.25257492,100.0208817,100.5256805,24.5518322,30.09672165,1200.246826
-4.295360757,0.22069687,82.90489873,32.45674515,50.07770157,54.05217743,24.75428581,30.33307266,1199.34021
15.58980434,0.225149484,255.4269708,32.83325958,400.1780701,382.3448486,25.34703827,31.12655449,1200.268555
14.92300588,0.227049179,261.1021833,33.07280731,399.9231873,382.6916199,25.48535347,31.42110443,1199.484009
20.08927056,0.224465967,312.7312756,33.34185791,499.8074341,476.8018494,25.59469032,31.61870956,1199.567139
23.79149054,0.221419666,375.7878503,33.20699692,600.0462646,572.7885132,25.13381004,31.0958271,1201.638184
31.17154411,0.214805823,498.8926801,33.08398438,800.1505127,764.4771729,24.81383896,30.61867714,1199.041504
34.14187759,0.212413861,661.7864196,32.99800873,1000.748108,960.9958496,24.58613968,30.33011246,1199.387573
37.78633172,0.207362646,812.3524992,33.07246017,1199.949585,1155.412964,24.17561722,29.92062569,1201.526489
41.04243922,0.20235464,966.8127197,32.91392136,1400.164551,1351.420532,23.8285675,29.43233109,1199.940308
42.49519749,0.198709348,1137.915358,32.81912613,1600.497437,1549.272949,23.45799828,28.99094582,1200.371826
42.99986492,0.194061488,1314.295757,32.7088356,1800.022705,1747.33252,22.99723816,28.44210625,1200.493652